entity,u5mr_1990,u5mr_latest,latest_year,pct_reduction
China,5.36,0.57,2024,89.4
Bangladesh,14.65,3.05,2024,79.2
Ethiopia,20.2,4.45,2024,78.0
Brazil,6.28,1.42,2024,77.4
Albania,4.06,0.92,2024,77.3
Angola,21.27,4.9,2024,77.0
Egypt,8.6,2.24,2024,74.0
Afghanistan,18.14,5.3,2024,70.8
Algeria,5.16,2.16,2024,58.1
Chad,21.14,9.73,2024,54.0
