entity,y1990,y2000,y2010,y2024
Africa,16.24,13.8,8.93,6.63
Asia,8.98,6.77,4.2,2.48
Europe,1.59,1.05,0.67,0.45
European Union (27),1.23,0.72,0.49,0.39
